"Easting","Northing","Latitude","Longitude","Family","Cover_Class","Number","Genus_species"
"609303.51 m E","3900119.80 m N","35° 14' 17.506""","-115° 47' 55.367""","Boraginaceae","Coarse gravel","2","Cryptantha angustifolia"
"609282.40 m E","3900142.84 m N","35° 14' 18.262""","-115° 47' 56.191""","Polemoniaceae","Gravel","1","Langloisia setosissima"
"609282.40 m E","3900142.84 m N","35° 14' 18.262""","-115° 47' 56.191""","Cactaceae","Gravel","1","Ferocactus cylindraceus"
"609282.40 m E","3900142.84 m N","35° 14' 18.262""","-115° 47' 56.191""","Zygophyllaceae","Gravel","1","Larrea tridentata"
"609282.40 m E","3900142.84 m N","35° 14' 18.262""","-115° 47' 56.191""","Boraginaceae","Gravel","19","Pectocarya penicillata"
"609282.40 m E","3900142.84 m N","35° 14' 18.262""","-115° 47' 56.191""","Boraginaceae","Gravel","1","Pectocarya heterocarpa"
"609282.40 m E","3900142.84 m N","35° 14' 18.262""","-115° 47' 56.191""","Boraginaceae","Gravel","6","Cryptantha angustifolia"
"609329.94 m E","3900147.30 m N","35° 14' 18.388""","-115° 47' 54.308""","Cactaceae","Rock","1","Cylindropuntia acanthocarpa"
"609329.94 m E","3900147.30 m N","35° 14' 18.388""","-115° 47' 54.308""","Geraniaceae","Rock","1","Erodium cicutarium"
"609329.94 m E","3900147.30 m N","35° 14' 18.388""","-115° 47' 54.308""","Boraginaceae","Rock","2","Plagiobothrys jonesii"
"609329.94 m E","3900147.30 m N","35° 14' 18.388""","-115° 47' 54.308""","Brassicaceae","Rock","1","Lepidium densiflorum"
"609329.94 m E","3900147.30 m N","35° 14' 18.388""","-115° 47' 54.308""","Boraginaceae","Rock","3","Pectocarya heterocarpa"
"609333.99 m E","3900151.01 m N","35° 14' 18.506""","-115° 47' 54.146""","Poaceae","Gravel","4","Dasyochloa pulchella"
"609333.99 m E","3900151.01 m N","35° 14' 18.506""","-115° 47' 54.146""","Brassicaceae","Gravel","2","Lepidium densiflorum"
"609333.99 m E","3900151.01 m N","35° 14' 18.506""","-115° 47' 54.146""","Geraniaceae","Gravel","1","Erodium cicutarium"
"609333.99 m E","3900151.01 m N","35° 14' 18.506""","-115° 47' 54.146""","Boraginaceae","Gravel","2","Cryptantha angustifolia"
"609337.23 m E","3900145.94 m N","35° 14' 18.341""","-115° 47' 54.021""","Boraginaceae","Rock","1","Pectocarya heterocarpa"
"609337.23 m E","3900145.94 m N","35° 14' 18.341""","-115° 47' 54.021""","Brassicaceae","Rock","10","Lepidium densiflorum"
"609337.23 m E","3900145.94 m N","35° 14' 18.341""","-115° 47' 54.021""","Boraginaceae","Rock","1","Cryptantha angustifolia"
"609341.56 m E","3900156.76 m N","35° 14' 18.690""","-115° 47' 53.844""","Brassicaceae","Rock","7","Lepidium densiflorum"
"609341.56 m E","3900156.76 m N","35° 14' 18.690""","-115° 47' 53.844""","Boraginaceae","Rock","5","Pectocarya heterocarpa"
"609341.56 m E","3900156.76 m N","35° 14' 18.690""","-115° 47' 53.844""","Boraginaceae","Rock","1","Cryptantha angustifolia"
"609345.10 m E","3900157.47 m N","35° 14' 18.712""","-115° 47' 53.704""","Cactaceae","Rock","1","Ferocactus cylindraceus"
