"Easting","Northing","Latitude","Longitude","Family","Cover_Class","Number","Genus_species"
"608914.78 m E","3899866.75 m N","35° 14' 9.445""","-115° 48' 10.865""","Boraginaceae","Rock","4","Pectocarya penicillata"
"608922.06 m E","3899867.28 m N","35° 14' 9.460""","-115° 48' 10.577""","Lamiaceae","Rock","1","Scutellaria mexicana"
"608922.06 m E","3899867.28 m N","35° 14' 9.460""","-115° 48' 10.577""","Cactaceae","Rock","1","Mammillaria tetrancistra"
"608922.06 m E","3899867.28 m N","35° 14' 9.460""","-115° 48' 10.577""","Polygonaceae","Rock","2","Eriogonum inflatum"
"609297.80 m E","3900170.76 m N","35° 14' 19.162""","-115° 47' 55.568""","Zygophyllaceae","Gravel","1","Larrea tridentata"
"609297.80 m E","3900170.76 m N","35° 14' 19.162""","-115° 47' 55.568""","Boraginaceae","Gravel","2","Plagiobothrys jonesii"
"609297.80 m E","3900170.76 m N","35° 14' 19.162""","-115° 47' 55.568""","Boraginaceae","Gravel","1","Pectocarya penicillata"
"609301.77 m E","3900174.02 m N","35° 14' 19.266""","-115° 47' 55.410""","Cactaceae","Gravel","1","Echinocereus engelmannii"
"609301.77 m E","3900174.02 m N","35° 14' 19.266""","-115° 47' 55.410""","Boraginaceae","Gravel","4","Pectocarya penicillata"
"609301.77 m E","3900174.02 m N","35° 14' 19.266""","-115° 47' 55.410""","Boraginaceae","Gravel","1","Plagiobothrys jonesii"
"609305.29 m E","3900176.17 m N","35° 14' 19.334""","-115° 47' 55.270""","Poaceae","Live Plant","1","Dasyochloa pulchella"
"609310.25 m E","3900180.12 m N","35° 14' 19.461""","-115° 47' 55.071""","Poaceae","Live Plant","9","Dasyochloa pulchella"
"609310.25 m E","3900180.12 m N","35° 14' 19.461""","-115° 47' 55.071""","Boraginaceae","Live Plant","7","Plagiobothrys jonesii"
"609310.25 m E","3900180.12 m N","35° 14' 19.461""","-115° 47' 55.071""","Boraginaceae","Live Plant","1","Pectocarya penicillata"
"609308.95 m E","3900182.32 m N","35° 14' 19.532""","-115° 47' 55.122""","Agavaceae","Gravel","2","Yucca schidigera"
"609316.83 m E","3900192.73 m N","35° 14' 19.867""","-115° 47' 54.805""","Zygophyllaceae","Gravel","1","Larrea tridentata"
