"","Genus_species","Easting","Northing"
"233","Baccharis salicina",609286.198554819,3899843.49405764
"234","Baccharis salicina",609708.325655364,3899414.12241343
"235","Baccharis salicina",609725.644576376,3899456.92793106
"236","Baccharis salicina",609716.449541346,3899457.14905608
"237","Baccharis salicina",609691.984019354,3899455.74277948
"238","Baccharis salicina",609681.965403538,3899463.82962223
"239","Baccharis salicina",609757.207482606,3899465.96341167
"240","Baccharis salicina",609703.871795274,3899488.60999605
"241","Baccharis salicina",609679.000084785,3899498.18040284
"242","Baccharis salicina",609423.034842556,3899907.05258041
"243","Baccharis salicina",609430.964870969,3899906.03937641
"244","Baccharis salicina",609442.014270051,3899902.9563891
"245","Baccharis salicina",609447.995781828,3899905.02549821
"246","Baccharis salicina",609460.98662048,3899906.95768002
"247","Baccharis salicina",609410.978110526,3899993.31716945
"248","Baccharis salicina",609431.728960069,3899963.17502854
"249","Baccharis salicina",609447.973056467,3899959.48942255
"250","Baccharis salicina",609449.075743062,3899958.61538042
"251","Baccharis salicina",609412.082146547,3899962.27152798
"252","Baccharis salicina",609379.09503941,3899965.75448017
"253","Baccharis salicina",608916.034286378,3899891.27591847
"254","Baccharis salicina",608916.184188638,3899893.93992092
"255","Baccharis salicina",608875.997321301,3899868.05377531
"256","Baccharis salicina",608894.964702328,3899880.04039175
"257","Baccharis salicina",608898.976617279,3899886.9660847
"258","Baccharis salicina",608912.009098226,3899893.0021921
"259","Baccharis salicina",609652.054228755,3899813.65711784
"260","Baccharis salicina",609662.336815342,3899813.78191583
"261","Baccharis salicina",609653.030680855,3899800.69072929
"262","Baccharis salicina",609653.761344695,3899800.47774665
"263","Baccharis salicina",609283.865021064,3900051.45633109
"264","Baccharis salicina",609283.781841476,3900058.33267479
"265","Baccharis salicina",609284.739841277,3900061.89386325
"266","Baccharis salicina",609282.783358204,3900065.64164661
"267","Baccharis salicina",609280.611349989,3900072.1599483
"268","Baccharis salicina",609278.833942524,3900083.67464857
"269","Baccharis salicina",609299.756145514,3900031.79299616
"270","Baccharis salicina",609305.000838159,3900057.14735007
"271","Baccharis salicina",609305.188951784,3900034.0772248
"272","Baccharis salicina",609313.397244704,3900070.22716722
"273","Baccharis salicina",609312.372719743,3900094.72919912
"274","Baccharis salicina",609347.46617714,3900075.07646058
"275","Baccharis salicina",609375.737937576,3900055.11941273
"276","Baccharis salicina",609373.225120978,3900082.26562611
"277","Baccharis salicina",609364.167511567,3900108.77798457
"278","Baccharis salicina",609614.525066477,3899891.4039353
"279","Baccharis salicina",609604.559460277,3899895.16541283
"280","Baccharis salicina",609599.147672318,3899898.64936582
"281","Baccharis salicina",609592.027155121,3899900.44871827
"282","Baccharis salicina",609592.383064979,3899901.11858611
"283","Baccharis salicina",609633.481963094,3899866.67579536
"284","Baccharis salicina",609653.072981906,3899864.69503963
"285","Baccharis salicina",609665.155233963,3899866.50556195
"286","Baccharis salicina",609670.487637619,3899869.56526657
"287","Baccharis salicina",609617.177906436,3899822.7734762
"288","Baccharis salicina",609627.516489155,3899825.78296723
"289","Baccharis salicina",609626.433954564,3899824.99335648
"290","Baccharis salicina",609632.083794912,3899824.39635973
"291","Baccharis salicina",609635.61918959,3899825.54851039
"292","Baccharis salicina",609639.722094597,3899824.93274727
"293","Baccharis salicina",609518.370656776,3899407.38119207
"294","Baccharis salicina",609478.474858923,3899410.00364937
"295","Baccharis salicina",609479.898615372,3899412.6830983
"296","Baccharis salicina",609485.679635492,3899416.30273993
"297","Baccharis salicina",609478.297861409,3899417.10070338
"298","Baccharis salicina",609488.013391521,3899418.99321611
"299","Baccharis salicina",609477.359640877,3899419.41876097
"300","Baccharis salicina",609486.715199063,3899420.97413628
"301","Baccharis salicina",609477.30454931,3899423.96601753
"302","Baccharis salicina",609491.009298692,3899427.12704027
"303","Baccharis salicina",609475.338453974,3899428.49012183
"304","Baccharis salicina",609522.545220094,3899445.92276197
"305","Baccharis salicina",609560.999229192,3899449.60574892
"306","Baccharis salicina",609522.998465513,3899453.5820806
"307","Baccharis salicina",609548.651035748,3899454.66951469
"308","Baccharis salicina",609510.967656346,3899454.98921886
"309","Baccharis salicina",609522.152580856,3899455.79032811
"310","Baccharis salicina",609534.774680562,3899458.16182246
"311","Baccharis salicina",609558.831829742,3899463.22324734
"312","Baccharis salicina",609579.024381419,3899464.24457024
"313","Baccharis salicina",609529.550972663,3899468.63637861
"314","Baccharis sergiloides",608888.381668843,3899837.25500688
"315","Baccharis sergiloides",609311.807149937,3900081.3004289
"316","Baccharis sergiloides",609312.318220117,3900084.19066311
"317","Baccharis sergiloides",609349.686560662,3900064.56545767
"318","Baccharis sergiloides",609346.994046736,3900068.96986952
"319","Baccharis sergiloides",609350.808192647,3900092.19936669
"320","Baccharis sergiloides",609349.797575381,3900100.50651178
"321","Baccharis sergiloides",609375.737937576,3900055.11941273
"322","Baccharis sergiloides",609363.801157345,3900101.45249686
"323","Bebbia juncea",609308.831074357,3900003.83876491
"324","Brickellia desertorum",609349.686560662,3900064.56545767
"325","Bromus madritensis",608866.808911821,3899708.30998938
"326","Bromus madritensis",608774.320107314,3899711.41737215
"327","Bromus madritensis",608776.347256201,3899717.326949
"328","Bromus madritensis",608777.855770326,3899720.11822797
"329","Bromus madritensis",608779.0705482,3899720.00960326
"330","Bromus madritensis",608782.434719073,3899724.05572091
"331","Bromus madritensis",608783.045183925,3899727.9454359
"332","Bromus madritensis",608781.136376484,3899726.90564461
"333","Bromus madritensis",608833.090832432,3899705.68529035
"334","Bromus madritensis",608834.00080471,3899705.69625119
"335","Bromus madritensis",608833.998249867,3899708.00715247
"336","Bromus madritensis",608845.470096316,3899697.97724027
"337","Bromus madritensis",608844.844600789,3899703.73162935
"338","Bromus madritensis",608858.582156712,3899696.59458324
"339","Bromus madritensis",609116.61610978,3900019.47886629
"340","Bromus madritensis",609118.653112404,3900016.17572156
"341","Bromus madritensis",609121.061072611,3900013.55493229
"342","Bromus madritensis",609119.700252796,3900013.19955874
"343","Bromus madritensis",609121.07967802,3900012.01453314
"344","Bromus madritensis",609124.268568773,3900011.71411284
"345","Bromus madritensis",609121.55987062,3900016.21083
"346","Bromus madritensis",609125.792265886,3900006.95658312
"347","Bromus madritensis",609127.15540482,3900028.04878347
"348","Bromus madritensis",609129.295002692,3900024.62363036
"349","Bromus madritensis",609128.394365182,3900023.8424394
"350","Bromus madritensis",609131.80707546,3900019.66235308
"351","Bromus madritensis",609133.390229316,3900016.26129178
"352","Bromus madritensis",609134.781937083,3900014.05960478
"353","Bromus madritensis",609135.159963093,3900014.15660871
"354","Bromus madritensis",609135.202761061,3900010.61369061
"355","Bromus madritensis",609165.593352103,3900047.92502365
"356","Bromus madritensis",609168.608906631,3900053.60014698
"357","Bromus madritensis",609170.967358668,3900055.076833
"358","Bromus madritensis",608899.533004318,3899711.60070831
"359","Bromus madritensis",608907.449634149,3899719.67654871
"360","Bromus madritensis",608899.275861313,3899718.25309521
"361","Bromus madritensis",608895.127809476,3899716.3235429
"362","Bromus madritensis",608908.994972582,3899727.7988466
"363","Bromus madritensis",608904.916073967,3899726.42474695
"364","Bromus madritensis",608896.566853491,3899724.87593123
"365","Bromus madritensis",608887.626269803,3899778.68994426
"366","Bromus madritensis",608880.765797506,3899775.27952455
"367","Bromus madritensis",608893.540783954,3899787.1730208
"368","Bromus madritensis",608886.305252493,3899783.41913944
"369","Bromus madritensis",608883.125574237,3899782.9494463
"370","Bromus madritensis",608879.503164801,3899781.45760868
"371","Bromus madritensis",608880.770192087,3899795.89309779
"372","Bromus madritensis",608899.269225853,3899808.99564552
"373","Bromus madritensis",609423.005257024,3899906.99059707
"374","Bromus madritensis",608918.079286388,3899714.50493994
"375","Bromus madritensis",608919.521560287,3899714.3990764
"376","Bromus madritensis",608925.609229247,3899714.81140091
"377","Bromus madritensis",608911.029655714,3899718.39476635
"378","Bromus madritensis",608918.349232261,3899721.47180511
"379","Bromus madritensis",608921.898429225,3899722.74708786
"380","Bromus madritensis",608924.16555675,3899723.42147981
"381","Bromus madritensis",608914.068979123,3899730.50987822
"382","Bromus madritensis",608918.323327675,3899732.00934688
"383","Bromus madritensis",608921.591852172,3899731.40168745
"384","Bromus madritensis",608927.521533931,3899732.33592061
"385","Bromus madritensis",608933.682421382,3899732.96482081
"386","Bromus madritensis",608899.586892633,3899767.95730514
"387","Bromus madritensis",608901.743829905,3899786.1626416
"388","Bromus madritensis",608887.927286197,3899799.86171685
"389","Bromus madritensis",608896.946710804,3899806.62590725
"390","Bromus madritensis",608903.627616647,3899810.24986318
"391","Bromus madritensis",609029.863588492,3899847.05258492
"392","Bromus madritensis",609028.491226773,3899841.36653174
"393","Bromus madritensis",608982.950166322,3899844.39133023
"394","Bromus madritensis",608985.676673164,3899836.32054371
"395","Bromus madritensis",608993.798684597,3899850.40737395
"396","Bromus madritensis",608994.047366602,3899852.84455781
"397","Bromus madritensis",608993.669704113,3899852.71675203
"398","Bromus madritensis",608992.52076163,3899866.22955915
"399","Bromus madritensis",608994.897513493,3899872.48234728
"400","Bromus madritensis",609000.340532436,3899882.31556083
"401","Bromus madritensis",609006.864093191,3899852.87593298
"402","Bromus madritensis",609005.459379395,3899847.77493006
"403","Bromus madritensis",609010.116223884,3899841.05237513
"404","Bromus madritensis",609010.698328096,3899830.52153872
"405","Bromus madritensis",609011.807899404,3899828.6553664
"406","Bromus madritensis",609016.959886001,3899816.51579666
"407","Bromus madritensis",609015.270807954,3899811.9351731
"408","Bromus madritensis",609017.415613851,3899808.07868281
"409","Bromus madritensis",609437.859054514,3899997.63604799
"410","Bromus madritensis",609456.231784656,3900000.20037245
"411","Bromus madritensis",609453.488912948,3899978.29025473
"412","Bromus madritensis",609459.002339831,3899973.92004881
"413","Bromus madritensis",609447.978111734,3899959.48948379
"414","Bromus madritensis",608875.227584359,3899848.85451212
"415","Bromus madritensis",608871.059509748,3899846.49335306
"416","Bromus madritensis",608869.972986478,3899846.44944812
"417","Bromus madritensis",608868.801219874,3899838.79384393
"418","Bromus madritensis",608870.428849203,3899831.69578333
"419","Bromus madritensis",608871.375932278,3899828.62595179
"420","Bromus madritensis",608869.919166354,3899827.83808704
"421","Bromus madritensis",608872.251367217,3899831.5020575
"422","Bromus madritensis",608872.106068453,3899858.24550338
"423","Bromus madritensis",608875.692436103,3899862.72571162
"424","Bromus madritensis",608878.894697968,3899884.39463466
"425","Bromus madritensis",608885.771080355,3899888.5755593
"426","Bromus madritensis",608870.988516521,3899823.01341983
"427","Bromus madritensis",608877.401650549,3899842.56416078
"428","Bromus madritensis",608874.827793954,3899835.87765773
"429","Bromus madritensis",608874.958843817,3899825.0024462
"430","Bromus madritensis",608873.192381544,3899820.54416892
"431","Bromus madritensis",608878.765504666,3899819.59451687
"432","Bromus madritensis",608917.759163093,3899845.91614267
"433","Bromus madritensis",608904.413725118,3899835.21741619
"434","Bromus madritensis",608902.467372047,3899831.00346372
"435","Bromus madritensis",608896.813859556,3899823.94089747
"436","Bromus madritensis",608908.378565838,3899846.04956273
"437","Bromus madritensis",608910.984704039,3899850.05578297
"438","Bromus madritensis",608924.862716987,3899854.32114001
"439","Bromus madritensis",608930.2982999,3899854.29423544
"440","Bromus madritensis",608905.596324901,3899881.8200853
"441","Bromus madritensis",609295.018487366,3900182.2609216
"442","Bromus madritensis",609294.005899062,3900184.46717161
"443","Bromus madritensis",609289.637948128,3900175.66357688
"444","Bromus madritensis",609289.088522852,3900177.19755545
"445","Bromus madritensis",609272.92971741,3900158.82271074
"446","Bromus madritensis",609310.20149565,3900168.45574318
"447","Bromus madritensis",609329.947845175,3900147.3108109
"448","Bromus madritensis",609337.219525984,3900145.95062744
"449","Bromus madritensis",609341.563210116,3900156.75676546
"450","Bromus madritensis",609345.093615765,3900157.47737092
"451","Bromus madritensis",609340.081181329,3900158.06376615
"452","Bromus madritensis",609358.560794828,3900166.39113729
"453","Bromus madritensis",609360.470310462,3900173.62438094
"454","Bromus madritensis",608878.967037594,3899849.02282471
"455","Bromus madritensis",608879.641368835,3899851.80407059
"456","Bromus madritensis",608882.577538699,3899851.50051783
"457","Bromus madritensis",608878.972327497,3899854.87725202
"458","Bromus madritensis",608884.236245878,3899833.4336052
"459","Bromus madritensis",608888.386501397,3899837.27355258
"460","Bromus madritensis",608900.499201525,3899866.3524246
"461","Bromus madritensis",608897.257620331,3899877.31339558
"462","Bromus madritensis",608916.024101502,3899891.28195818
"463","Bromus madritensis",608922.862125937,3899890.2551459
"464","Bromus madritensis",608916.169097026,3899893.9335765
"465","Bromus madritensis",608903.429301233,3899856.06557397
"466","Bromus madritensis",609774.68244996,3899413.48625988
"467","Bromus madritensis",609774.686491987,3899413.15353366
"468","Bromus madritensis",609683.55066693,3899415.70738366
"469","Bromus madritensis",609702.551678752,3899424.92297165
"470","Bromus madritensis",609714.707232379,3899420.74447337
"471","Bromus madritensis",609753.007588792,3899422.09698303
"472","Bromus madritensis",609764.266030088,3899424.34131031
"473","Bromus madritensis",609722.312204351,3899424.0536406
"474","Bromus madritensis",609776.72498564,3899425.15820974
"475","Bromus madritensis",609777.660692029,3899438.03689017
"476","Bromus madritensis",609763.792904401,3899433.32049674
"477","Bromus madritensis",609751.689878022,3899433.17348837
"478","Bromus madritensis",609738.296686235,3899434.34192915
"479","Bromus madritensis",609734.089128184,3899436.06563391
"480","Bromus madritensis",609723.266842339,3899435.37959119
"481","Bromus madritensis",609717.164444496,3899435.74919457
"482","Bromus madritensis",609702.791804738,3899435.13099404
"483","Bromus madritensis",609681.584185521,3899442.74923117
"484","Bromus madritensis",609692.583078621,3899443.88106839
"485","Bromus madritensis",609700.184556767,3899439.98004497
"486","Bromus madritensis",609714.670511441,3899446.25679684
"487","Bromus madritensis",609716.78371244,3899444.61857864
"488","Bromus madritensis",609730.379087475,3899441.78868543
"489","Bromus madritensis",609756.779153445,3899433.78992835
"490","Bromus madritensis",609758.615457187,3899447.45602075
"491","Bromus madritensis",608918.074453817,3899714.48639423
"492","Bromus madritensis",608919.531745358,3899714.39303669
"493","Bromus madritensis",608925.624544002,3899714.79926056
"494","Bromus madritensis",608930.268073325,3899714.63339215
"495","Bromus madritensis",608911.019544924,3899718.39464447
"496","Bromus madritensis",608918.35421338,3899721.47802764
"497","Bromus madritensis",608921.888392718,3899722.74080438
"498","Bromus madritensis",608924.155297405,3899723.43368111
"499","Bromus madritensis",608914.058719797,3899730.52207953
"500","Bromus madritensis",608918.31819801,3899732.01544753
"501","Bromus madritensis",608921.602111505,3899731.38948615
"502","Bromus madritensis",608927.506219202,3899732.34806096
"503","Bromus madritensis",608933.687328195,3899732.97720494
