"","taxa_no_genetic_data"
"1","Astragalus mohavensis"
"2","Chaenactis fremontii"
"3","Chaenactis stevioides"
"4","Eriophyllum wallacei"
"5","Monoptilon bellidiforme"
"6","Scutellaria mexicana"
