Observation #,Easting,Northing,GPS #,WP,Photo,Camera,Cover Class,Incline,Identify Plant,Number,Number Total (vascular),Number Unique,Plant Description,Abstract,Team,Correct ID?,Notes,QC,
"MJV8-16-BIO-VT-6,2-2D",609280.67 m E,3899871.83 m N,4,23,107,L. Yang,Gravel,N/A,Lepidium densiflorum,4,22,5,Common pepperweed ,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2D",609280.67 m E,3899871.83 m N,4,23,115,L. Yang,Gravel,N/A,Pectocarya penicillata,5,22,5,Hairy leaved comb bur,Borage Family,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2E",609289.80 m E,3899884.70 m N,4,25,,L. Yang,Gravel,N/A,Poaceae**,14,25,5,Red Brome?,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-2E",609289.80 m E,3899884.70 m N,4,25,,L. Yang,Gravel,N/A,Monoptilon bellioides,4,25,5,Mojave desert star,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2E",609289.80 m E,3899884.70 m N,4,25,,L. Yang,Gravel,N/A,Cryptantha angustifolia,4,25,5,Forget me not,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2E",609289.80 m E,3899884.70 m N,4,25,,L. Yang,Gravel,N/A,Stylocline micropoides,1,25,5,Desert Nest Straw,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2E",609289.80 m E,3899884.70 m N,4,25,,L. Yang,Gravel,N/A,Plantago ovata,2,25,5,Desert plantain,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2F",609284.25 m E,3899891.84 m N,4,28,,L. Yang,Rock/gravel,N/A,Poacease**,20,31,5,Red Brome?,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-2F",609284.25 m E,3899891.84 m N,4,28,,L. Yang,Rock/gravel,N/A,Cryptantha angustifolia,7,31,5,Forget me not,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2F",609284.25 m E,3899891.84 m N,4,28,,L. Yang,Rock/gravel,N/A,Ferocactus cylindraceus,1,31,5,Barrel cactus,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2F",609284.25 m E,3899891.84 m N,4,28,,L. Yang,Rock/gravel,N/A,Plantago ovata,2,31,5,Desert plantain,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2F",609284.25 m E,3899891.84 m N,4,28,,L. Yang,Rock/gravel,N/A,Grayia spinosa,1,31,5,Desert hopsage,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2G",609285.32 m E,3899893.74 m N,4,29,,L. Yang,Rock/gravel,N/A,Ephedra viridis,1,28,5,Mormon tea,All other plants under Ephedra,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2G",609285.32 m E,3899893.74 m N,4,29,,L. Yang,Rock/gravel,N/A,Poaceae**,15,28,5,Red Brome?,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-2G",609285.32 m E,3899893.74 m N,4,29,,L. Yang,Rock/gravel,N/A,Monoptilon bellioides,5,28,5,Mojave desert star,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2G",609285.32 m E,3899893.74 m N,4,29,,L. Yang,Rock/gravel,N/A, Stylocline micropoides,5,28,5,Desert Nest Straw,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-2G",609285.32 m E,3899893.74 m N,4,29,226,L. Yang,Rock/gravel,N/A,Unknown sage like,2,28,5,"green paddle shaped leaves, some fuzz",,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-2H",609285.65 m E,3899904.17 m N,4,30,232,L. Yang,Gravel,N/A,Unknown little red,10,37,4,Phacelia?,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-2H",609285.65 m E,3899904.17 m N,4,30,,L. Yang,Gravel,N/A,Poaceae**,25,37,4,Red Brome?,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-2H",609285.65 m E,3899904.17 m N,4,30,236,L. Yang,Gravel,N/A,Larrea tridentata,1,37,4,Creosote bush,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2H",609285.65 m E,3899904.17 m N,4,30,,L. Yang,Gravel,N/A,Opuntia basilaris,1,37,4,Beavertail Cactus,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2I",609282.69 m E,3899908.24 m N,4,33,,L. Yang,Gravel,N/A,Ephedra viridis,1,27,4,Mormon tea,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2I",609282.69 m E,3899908.24 m N,4,33,,L. Yang,Gravel,N/A,Plantago ovata,5,27,4,Desert plantain,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2I",609282.69 m E,3899908.24 m N,4,33,,L. Yang,Gravel,N/A,Poaceae**,20,27,4,Red Brome?,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-2I",609282.69 m E,3899908.24 m N,4,33,241,L. Yang,Gravel,N/A,Gilia cana ssp. speciformis,1,27,4,"purple with yellow center, darker purple around center",,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2J",609285.30 m E,3899910.27 m N,4,34,,L. Yang,Granite,N/A,Eriogonum inflatum,2,22,6,Desert trumpet,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2J",609285.30 m E,3899910.27 m N,4,34,,L. Yang,Granite,N/A,Poaceae**,15,22,6,Red Brome?,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-2J",609285.30 m E,3899910.27 m N,4,34,,L. Yang,Granite,N/A,Ephedra viridis,1,22,6,Mormon tea,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2J",609285.30 m E,3899910.27 m N,4,34,,L. Yang,Granite,N/A,Unknown little red,2,22,6,Phacelia?,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-2J",609285.30 m E,3899910.27 m N,4,34,,L. Yang,Granite,N/A,Sphaeralcea ambigua,1,22,6,Globe mallow,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2J",609285.30 m E,3899910.27 m N,4,34,249,L. Yang,Granite,N/A,Unknown clover like,1,22,6,Clover shaped leaves,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-2J",609285.30 m E,3899910.27 m N,4,34,,L. Yang,Gravel,N/A,Grayia spinosa,2,16,4,Desert hopsage,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2J",609285.30 m E,3899910.27 m N,4,34,,L. Yang,Gravel,N/A,Poaceae**,10,16,4,Red Brome?,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-2J",609285.30 m E,3899910.27 m N,4,34,,L. Yang,Gravel,N/A,Cryptantha angustifolia,3,16,4,Forget me not,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-2J",609285.30 m E,3899910.27 m N,4,34,,L. Yang,Gravel,N/A,Plantago ovata,1,16,4,Desert plantain,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-4A",609294.85 m E,3899865.24 m N,4,38,,L. Yang,Gravel,N/A,Ambrosia dumosa,2,26,4,White bursage,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-4A",609294.85 m E,3899865.24 m N,4,38,,L. Yang,Gravel,N/A,Poaceae**,10,26,4,Red Brome?,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-4A",609294.85 m E,3899865.24 m N,4,38,,L. Yang,Gravel,N/A,Cryptantha angustifolia,3,26,4,Forget me not,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-4A",609294.85 m E,3899865.24 m N,4,38,,L. Yang,Gravel,N/A,Plantago ovata,1,26,4,Desert plantain,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-4B",609293.61 m E,3899862.78 m N,4,39,,L. Yang,Gravel,N/A,Ambrosia dumosa,3,16,5,White bursage,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-4B",609293.61 m E,3899862.78 m N,4,39,,L. Yang,Gravel,N/A,Cryptantha angustifolia,7,16,5,Forget me not,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-4B",609293.61 m E,3899862.78 m N,4,39,,L. Yang,Gravel,N/A,Poaceae**,3,16,5,Red brome?,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-4B",609293.61 m E,3899862.78 m N,4,39,,L. Yang,Gravel,N/A,Plantago ovata,2,16,5,Desert plantain,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-4B",609293.61 m E,3899862.78 m N,4,39,,L. Yang,Gravel,N/A,Chaenactis fremontii,1,16,5,Desert pincushion,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-4C",609299.06 m E,3899863.40 m N,4,42,,L. Yang,Gravel,N/A,Plantago ovata,5,23,4,Desert plantain,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-4C",609299.06 m E,3899863.40 m N,4,42,,L. Yang,Gravel,N/A,Poaceae**,6,23,4,Red Brome?,,Yang/Bedard,N,,,
"MJV8-16-BIO-VT-6,2-4C",609299.06 m E,3899863.40 m N,4,42,,L. Yang,Gravel,N/A,Pectocarya penicillata,2,23,4,Hairy leaved comb bur,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-4C",609299.06 m E,3899863.40 m N,4,42,,L. Yang,Gravel,N/A,Monoptilon bellioides,10,23,4,Mojave desert star,,Yang/Bedard,Y,,SM,
