,Genus_Species,Latitude,Longitude
128,Baccharis_salicina,35.231931,-115.796745
129,Baccharis_salicina,35.231945,-115.796917
130,Baccharis_salicina,35.232097,-115.796396
131,Baccharis_salicina,35.232126,-115.795973
132,Baccharis_salicina,35.232166,-115.79639
133,Baccharis_salicina,35.232167,-115.794533
134,Baccharis_salicina,35.232173,-115.796108
135,Baccharis_salicina,35.232174,-115.794163
136,Baccharis_salicina,35.232177,-115.794264
137,Baccharis_salicina,35.23218,-115.796522
138,Baccharis_salicina,35.232186,-115.796399
139,Baccharis_salicina,35.232206,-115.79626
140,Baccharis_salicina,35.232241,-115.794642
141,Baccharis_salicina,35.232249,-115.795995
142,Baccharis_salicina,35.232252,-115.793815
143,Baccharis_salicina,35.232256,-115.795773
144,Baccharis_salicina,35.232301,-115.796316
145,Baccharis_salicina,35.232462,-115.794398
146,Baccharis_salicina,35.232551,-115.79467
147,Baccharis_salicina,35.23441611,-114.196225
148,Baccharis_salicina,35.23444389,-114.1960519
149,Baccharis_salicina,35.23446389,-114.1960189
150,Baccharis_salicina,35.23447806,-114.196435
151,Baccharis_salicina,35.23449583,-114.1964389
152,Baccharis_salicina,35.23541,-114.2012081
153,Baccharis_salicina,35.23570694,-114.20106
154,Baccharis_salicina,35.23576111,-114.2009931
155,Baccharis_salicina,35.23579194,-114.2009939
156,Baccharis_salicina,35.23580694,-114.2012081
157,Baccharis_salicina,35.23584194,-114.2009481
158,Baccharis_salicina,35.23597694,-114.1965619
159,Baccharis_salicina,35.23605417,-114.1967908
160,Baccharis_salicina,35.23608111,-114.19677
161,Baccharis_salicina,35.23614806,-114.1968139
162,Baccharis_salicina,35.23620111,-114.1969569
163,Baccharis_salicina,35.23620194,-114.1970008
164,Baccharis_salicina,35.23625472,-114.2026594
165,Baccharis_salicina,35.23626444,-114.2025717
166,Baccharis_salicina,35.23672694,-114.202865
167,Baccharis_salicina,35.236735,-114.2028531
168,Baccharis_salicina,35.23725806,-114.1992681
169,Baccharis_salicina,35.23744806,-114.1994481
170,Baccharis_salicina,35.23751806,-114.1997511
171,Baccharis_salicina,35.23752417,-114.1994361
172,Baccharis_salicina,35.23754389,-114.1997531
173,Baccharis_salicina,35.237555,-114.1994519
174,Baccharis_salicina,35.23758611,-114.1994692
175,Bromus_madritensis,35.231774,-115.79363
176,Bromus_madritensis,35.231777,-115.79363
177,Bromus_madritensis,35.231807,-115.794631
178,Bromus_madritensis,35.231849,-115.794288
179,Bromus_madritensis,35.231857,-115.793867
180,Bromus_madritensis,35.231876,-115.793743
181,Bromus_madritensis,35.231878,-115.794204
182,Bromus_madritensis,35.231882,-115.793606
183,Bromus_madritensis,35.231888,-115.794421
184,Bromus_madritensis,35.231957,-115.79388
185,Bromus_madritensis,35.231957,-115.793747
186,Bromus_madritensis,35.231962,-115.793824
187,Bromus_madritensis,35.231969,-115.794027
188,Bromus_madritensis,35.23198,-115.794417
189,Bromus_madritensis,35.23198,-115.794192
190,Bromus_madritensis,35.231984,-115.794259
191,Bromus_madritensis,35.231985,-115.794073
192,Bromus_madritensis,35.231998,-115.793594
193,Bromus_madritensis,35.232024,-115.794445
194,Bromus_madritensis,35.232037,-115.794113
195,Bromus_madritensis,35.232051,-115.794649
196,Bromus_madritensis,35.23206,-115.794528
197,Bromus_madritensis,35.232064,-115.794262
198,Bromus_madritensis,35.232079,-115.794285
199,Bromus_madritensis,35.232085,-115.793802
200,Bromus_madritensis,35.23175,-115.796447
201,Bromus_madritensis,35.231778,-115.796885
202,Bromus_madritensis,35.231802,-115.796869
203,Bromus_madritensis,35.231859,-115.795887
204,Bromus_madritensis,35.231863,-115.796896
205,Bromus_madritensis,35.231895,-115.795865
206,Bromus_madritensis,35.231904,-115.796896
207,Bromus_madritensis,35.23192,-115.79612
208,Bromus_madritensis,35.231936,-115.795836
209,Bromus_madritensis,35.231954,-115.796703
210,Bromus_madritensis,35.231975,-115.796132
211,Bromus_madritensis,35.231985,-115.796931
212,Bromus_madritensis,35.231997,-115.796112
213,Bromus_madritensis,35.232026,-115.795808
214,Bromus_madritensis,35.232065,-115.795825
215,Bromus_madritensis,35.232067,-115.796369
216,Bromus_madritensis,35.232077,-115.796689
217,Bromus_madritensis,35.232096,-115.796387
218,Bromus_madritensis,35.232097,-115.796396
219,Bromus_madritensis,35.232105,-115.796126
220,Bromus_madritensis,35.232126,-115.795973
221,Bromus_madritensis,35.232138,-115.796674
222,Bromus_madritensis,35.232145,-115.796246
223,Bromus_madritensis,35.232159,-115.796516
224,Bromus_madritensis,35.232166,-115.79639
225,Bromus_madritensis,35.232171,-115.795969
226,Bromus_madritensis,35.232173,-115.796108
227,Bromus_madritensis,35.23218,-115.796522
228,Bromus_madritensis,35.232185,-115.796263
229,Bromus_madritensis,35.232186,-115.796399
230,Bromus_madritensis,35.23219,-115.796098
231,Bromus_madritensis,35.232195,-115.796671
232,Bromus_madritensis,35.232203,-115.795752
233,Bromus_madritensis,35.232218,-115.795991
234,Bromus_madritensis,35.232249,-115.795995
235,Bromus_madritensis,35.232256,-115.795773
